time,jogos,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,posicao_r19,temporada,aproveitamento,distancia_para_16,distancia_para_z4,pontos_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,saldo_por_jogo,aproveitamento_ultimos_5,variacao_posicao_ultimas_5,percentual_pontos_casa,percentual_pontos_fora,posicao_final,rebaixado,serie_a_last_5,previous_season_position,previous_season_score,squad_strength_0_100,recent_points_last5,recent_goal_diff_last5,elo_ajustado
Bahia,19,25,6,7,6,22,23,-1,9,2018,0.43859649122807015,4,5,1.3157894736842106,1.1578947368421053,1.2105263157894737,-0.05263157894736842,0.6,5,0.76,0.24,11,0,2.0,12.0,9.0,74.6,9.0,-0.2631578947368421,1547.2180917243513
Fluminense,19,23,6,5,8,19,24,-5,10,2018,0.40350877192982454,2,3,1.2105263157894737,1.0,1.263157894736842,-0.2631578947368421,0.3333333333333333,1,0.6086956521739131,0.391304347826087,12,0,3.0,14.0,7.0,77.8,5.0,-1.3157894736842104,1635.4776854696022
America-MG,19,22,6,4,9,18,24,-6,11,2018,0.38596491228070173,1,2,1.1578947368421053,0.9473684210526315,1.263157894736842,-0.3157894736842105,0.5333333333333333,6,0.8181818181818182,0.18181818181818182,18,1,0.0,22.0,-1.0,48.6,8.0,-1.5789473684210527,1394.225977318174
Botafogo-RJ,19,22,5,7,7,18,25,-7,12,2018,0.38596491228070173,1,2,1.1578947368421053,0.9473684210526315,1.3157894736842106,-0.3684210526315789,0.3333333333333333,0,0.7272727272727273,0.2727272727272727,9,0,2.0,10.0,11.0,77.4,5.0,-1.8421052631578947,1841.6574495478396
Athletico-PR,19,21,5,6,8,21,19,2,13,2018,0.3684210526315789,0,1,1.105263157894737,1.105263157894737,1.0,0.10526315789473684,0.7333333333333333,6,0.7619047619047619,0.23809523809523808,7,0,3.0,11.0,10.0,82.0,11.0,0.5263157894736842,1465.660972752581
Santos,19,21,5,6,8,21,23,-2,14,2018,0.3684210526315789,0,1,1.105263157894737,1.105263157894737,1.2105263157894737,-0.10526315789473684,0.3333333333333333,-1,0.7142857142857143,0.2857142857142857,10,0,3.0,3.0,18.0,93.2,5.0,-0.5263157894736842,1506.5020341558495
Vasco,19,21,5,6,8,23,29,-6,15,2018,0.3684210526315789,0,1,1.105263157894737,1.2105263157894737,1.5263157894736843,-0.3157894736842105,0.06666666666666667,-7,0.8095238095238095,0.19047619047619047,16,0,2.0,7.0,14.0,81.6,1.0,-1.5789473684210527,1590.4849872061493
Chapecoense,19,21,4,9,6,19,26,-7,16,2018,0.3684210526315789,0,1,1.105263157894737,1.0,1.368421052631579,-0.3684210526315789,0.3333333333333333,-1,0.8095238095238095,0.19047619047619047,14,0,3.0,8.0,13.0,86.2,5.0,-1.8421052631578947,1285.7921048608812
Sport,19,20,5,5,9,19,30,-11,17,2018,0.3508771929824561,-1,0,1.0526315789473684,1.0,1.5789473684210527,-0.5789473684210527,0.06666666666666667,-7,0.65,0.35,17,1,3.0,15.0,6.0,76.4,1.0,-2.8947368421052633,1509.7041382172438
Vitoria,19,19,5,4,10,20,39,-19,18,2018,0.3333333333333333,-2,-1,1.0,1.0526315789473684,2.0526315789473686,-1.0,0.26666666666666666,-2,0.7368421052631579,0.2631578947368421,19,1,2.0,16.0,5.0,69.0,4.0,-5.0,1632.4354148223447
